Sequential,Random,,,,,,,
0.847001,0.940191301,,,,,,,
0.8365545,0.8651209,,,,,,,
0.4861679,0.6778928,,,,,,,
0.3944331,0.7514944,,,,,,,
0.6578009,0.6763609,,,,,,,
0.385337,0.690165001,,,,,,,
0.4777489,0.8300876,,,,,,,
0.3836672,0.7254651,,,,,,,
0.376947,0.8864908,,,,,,,
0.3774844,0.5543062,,,,,Bin range,Sequential,Random
0.3364065,0.6651457,,,,,1,0.51826716,0.666226016
0.3361335,0.6087498,,,,,2,0.552088468,0.720436092
0.3375431,0.5232607,,,,,3,0.544690942,0.583297378
0.4057466,0.782296801,,,,,4,0.527645314,0.631285824
0.5426485,0.8265709,,,,,,,
0.605712,0.5643439,,,,,,,
0.391215,0.6844223,,,,,,,
0.3909399,0.8504805,,,,,,,
0.5594999,0.8217968,,,,,,,
0.5117719,0.7677807,,,,,,,
0.3356643,0.7045442,,,,,,,
0.666828101,0.7497152,,,,,,,
0.6593591,0.6531243,,,,,,,
0.5108265,0.536518801,,,,,,,
0.5867531,0.5278304,,,,,,,
0.369029,0.6413581,,,,,,,
0.4764272,0.8331297,,,,,,,
0.4294837,0.6479102,,,,,,,
0.5858032,0.6632621,,,,,,,
0.4191757,0.6266479,,,,,,,
0.4585515,0.7010941,,,,,,,
0.5881005,0.5033774,,,,,,,
0.6794951,0.728221,,,,,,,
0.6230193,0.6638024,,,,,,,
0.7105535,0.5747933,,,,,,,
0.6123786,0.4970495,,,,,,,
0.5562356,0.4478371,,,,,,,
0.5103302,0.479880901,,,,,,,
0.4800589,1.0232994,,,,,,,
0.6679057,0.5478404,,,,,,,
0.4512616,0.625108,,,,,,,
0.5196502,0.4576602,,,,,,,
0.3849597,0.4166029,,,,,,,
0.5265581,0.6821094,,,,,,,
0.4515447,0.6023394,,,,,,,
0.563560001,0.5745114,,,,,,,
0.4999977,0.5587975,,,,,,,
0.5641913,0.6479053,,,,,,,
0.6399511,0.6562072,,,,,,,
0.744946,0.6464,,,,,,,
0.8049172,0.7159224,,,,,,,
0.4958915,0.8774073,,,,,,,
0.5155554,0.5869929,,,,,,,
0.4936514,0.6288212,,,,,,,
0.6433068,0.8070642,,,,,,,
0.4390387,0.7583034,,,,,,,
0.4290975,0.587978201,,,,,,,
0.4812624,0.7442443,,,,,,,
0.7492823,0.6210659,,,,,,,
0.526882601,0.6074382,,,,,,,
0.4679147,0.814385301,,,,,,,
0.4789694,0.7942299,,,,,,,
0.4197282,0.5781345,,,,,,,
0.590907,0.922308,,,,,,,
0.4839102,0.7511849,,,,,,,
0.4318524,0.6689376,,,,,,,
0.4420476,0.6299646,,,,,,,
0.41772,0.6131388,,,,,,,
0.8415922,0.6967323,,,,,,,
0.5462534,0.7118712,,,,,,,
0.384804001,0.7353549,,,,,,,
0.5940531,0.4336367,,,,,,,
0.4903416,0.754285,,,,,,,
0.6547021,1.0588803,,,,,,,
0.5010605,0.6919964,,,,,,,
0.593177,0.4553165,,,,,,,
0.4746774,0.7218694,,,,,,,
0.487911601,0.9319275,,,,,,,
0.4599954,0.8597253,,,,,,,
0.4991525,0.7678439,,,,,,,
0.476160801,0.8784724,,,,,,,
0.4548233,0.7640293,,,,,,,
0.5218451,0.9639241,,,,,,,
0.7407651,0.536020901,,,,,,,
0.9172447,0.7375913,,,,,,,
0.714773,0.9608274,,,,,,,
0.6527864,0.731722,,,,,,,
0.6345642,0.6090861,,,,,,,
0.7639434,0.9392258,,,,,,,
0.636915701,0.6682593,,,,,,,
0.7061649,0.7014734,,,,,,,
0.4269842,0.618693,,,,,,,
0.5412494,0.5756705,,,,,,,
0.5917111,0.46824,,,,,,,
0.6869641,0.7992918,,,,,,,
0.4012352,0.6968978,,,,,,,
0.5095556,0.5171411,,,,,,,
0.387233,0.9424341,,,,,,,
0.4173724,0.7136664,,,,,,,
0.5824757,0.6721769,,,,,,,
0.4498637,0.492225,,,,,,,
0.673211501,0.4675724,,,,,,,
0.5639189,0.632739,,,,,,,
0.8217683,0.6691239,,,,,,,
0.5602267,0.5635821,,,,,,,
0.4828969,0.7667481,,,,,,,
0.4305668,0.6812237,,,,,,,
0.5721916,0.4367341,,,,,,,
0.4208484,0.6077854,,,,,,,
0.530996101,0.535306301,,,,,,,
0.4423029,0.5861133,,,,,,,
0.5609948,0.5838032,,,,,,,
0.5269372,0.4423537,,,,,,,
0.8062203,0.6009271,,,,,,,
0.5534004,0.7111382,,,,,,,
0.3397606,0.5434732,,,,,,,
0.5214468,0.485834,,,,,,,
0.494091601,0.5761744,,,,,,,
0.9770523,0.5181456,,,,,,,
0.5352206,0.459767201,,,,,,,
0.5144372,0.6167203,,,,,,,
0.4544043,0.465425901,,,,,,,
0.4348665,0.4988725,,,,,,,
0.4707592,0.7546168,,,,,,,
0.646727201,0.4284817,,,,,,,
0.664525901,0.5697711,,,,,,,
0.3807542,0.4064103,,,,,,,
0.3905695,0.669936,,,,,,,
0.5823673,0.4615973,,,,,,,
0.5162511,0.575728001,,,,,,,
0.6570205,0.5111432,,,,,,,
0.7060708,0.6411078,,,,,,,
0.690883,0.5201986,,,,,,,
0.4387907,0.6025938,,,,,,,
0.654375601,0.656672901,,,,,,,
0.6194818,0.5841736,,,,,,,
0.481815401,0.4985081,,,,,,,
0.4066656,0.7416528,,,,,,,
0.4660109,0.562881601,,,,,,,
0.5345556,0.5578586,,,,,,,
0.4399554,0.7717843,,,,,,,
0.4647753,0.4695305,,,,,,,
0.443351001,0.6927709,,,,,,,
0.4819201,0.5159556,,,,,,,
0.7072846,0.7178842,,,,,,,
0.4605821,0.5873414,,,,,,,
0.6523959,0.5328522,,,,,,,
0.5547707,0.6417102,,,,,,,
0.6527296,0.6403159,,,,,,,
0.401533701,0.909602901,,,,,,,
0.6365486,0.5806039,,,,,,,
0.4032681,0.6446541,,,,,,,
0.5163339,0.5207206,,,,,,,
0.5405397,0.5600062,,,,,,,
0.4924998,0.6321288,,,,,,,
0.4195151,0.5382009,,,,,,,
0.5392156,0.5711633,,,,,,,
0.5876066,1.417786701,,,,,,,
0.3974449,0.9969917,,,,,,,
0.6269572,0.632271301,,,,,,,
0.5125211,0.6455671,,,,,,,
0.3933382,0.4908623,,,,,,,
0.507271301,0.6021999,,,,,,,
0.489629,0.6434799,,,,,,,
0.5382324,0.6459147,,,,,,,
0.5728232,0.5984365,,,,,,,
0.5132237,0.6454604,,,,,,,
0.5032543,0.5337151,,,,,,,
0.7369358,0.491621301,,,,,,,
0.484077401,0.6234666,,,,,,,
0.5241122,0.5984664,,,,,,,
0.5800993,0.5759012,,,,,,,
0.5393165,0.5923879,,,,,,,
0.5373964,0.6728027,,,,,,,
0.3365857,0.392943101,,,,,,,
0.5544105,0.6454399,,,,,,,
0.4641795,0.6882911,,,,,,,
0.4124035,0.6188251,,,,,,,
0.5752609,0.6972187,,,,,,,
0.607090801,0.690955,,,,,,,
0.503615,0.8029332,,,,,,,
0.432368801,0.6076057,,,,,,,
0.3035573,0.711398201,,,,,,,
0.4604639,0.6918767,,,,,,,
1.2156711,0.6730297,,,,,,,
0.8671764,0.6658386,,,,,,,
0.5021304,0.6642285,,,,,,,
0.599904,0.5081485,,,,,,,
0.594225801,0.7057796,,,,,,,
0.528939,0.6208943,,,,,,,
0.489563,0.5973672,,,,,,,
0.452703001,0.501543,,,,,,,
0.525585,0.5809578,,,,,,,
0.5861372,0.6627633,,,,,,,
0.4270495,0.5093569,,,,,,,
0.5144906,0.5686797,,,,,,,
0.5765524,0.6855835,,,,,,,
0.4743952,0.4997216,,,,,,,
0.4041668,0.7087608,,,,,,,
0.381480101,0.409342,,,,,,,
